period;Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subject;Subject;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group;Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
profit;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sublabel;subject index in group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ownzz;own valuation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vmax;highest valuation in group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vmed;medium valuation in group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vmin;minimum valuation in group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ex;excluded subject;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
exclusion;period with exclusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ez;decision (bid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
winner;Winner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
risk_likert;qualitative risk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
session;SessionID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treatment;"1=EXP; 2=EXUP; 3=C30; 4=C51";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pid;unique id for subjects;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gid;group id;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mpid;unique id for matching groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
index;subject index in matching group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gind;subject index in group (ordered);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
high;High type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
med;Medium type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low;Low type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tenperiods;10 period blocks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
first;first 25 periods;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
firstten;first 10 periods;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
totalprofit;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ezsum;sum of bids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bid;predicted bid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bidsum;predicted bidsum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bidsum1;bidsum 3 bidders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prob;predicted winning probability;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ezsum1;counterfactual sum of bids -- 3 bidders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ezsum2;counterfactual sum of bids -- 2 bidders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strong;High type no-exclusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strong1;High type exclusion = Med type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strong2;High/Med type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
safe;safe if high/med type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ez_int;high type bid in (0,vmed);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
safe1;safe if high type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
safe2;safe if med type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
distance;vmax-vmed/vmed-vmin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrbids;number of bids in round;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
risk_index;raw switching row MPL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mult_switch;indicator multiple switching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
risk_mpl;switching row MPL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
period;subject;group;profit;sublabel;ownzz;vmax;vmed;vmin;ex;exclusion;ez;winner;risk_likert;session;treatment;pid;gid;mpid;index;gind;high;med;low;tenperiods;first;firstten;totalprofit;ezsum;bid;bidsum;bidsum1;prob;ezsum1;ezsum2;strong;strong1;strong2;safe;ez_int;safe1;safe2;distance;nrbids;risk_index;mult_switch;risk_mpl;riskaverse;riskaverse_lik
50;1;2;0.499001;1;17;35;19;17;0;1;16.501;1;;1;1;1;2;1;3;1;0;0;1;5;0;0;279.9899;21.501;7.605263;16.10526;14.65714;;;;;0;0;0;0;;;2;2;4;0;4;1;
33;1;1;0;1;17;34;17;16;0;0;0;0;;1;1;1;1;1;5;2;0;1;0;4;0;;261.496;4;4.25;12.75;12.75;;;;0;0;0;0;0;;;17;1;4;0;4;1;
18;1;1;1;1;13;27;13;13;0;1;12;1;;1;1;1;1;1;4;1;0;0;1;2;1;;156;12;6.5;13;9.62963;;;;;0;0;0;0;;;0;1;4;0;4;1;
19;1;2;1.999;1;20;33;20;19;0;1;18.001;1;;1;1;1;2;1;2;2;0;1;0;2;1;;157.999;35.001;9.5;18.525;16.06061;0.525;;27.501;;1;1;0;0;;0;1;2;4;0;4;1;
47;1;1;0;1;25;25;15;14;1;1;;0;;1;1;1;1;1;4;3;1;0;0;5;0;0;279.4909;;;13.53333;12;;;;;0;0;;0;;;1;2;4;0;4;1;
1;1;1;-2;1;39;39;18;17;0;0;2;0;;1;1;1;1;1;3;3;1;0;0;1;1;1;98;11;9;13.15385;13.15385;0.7692308;18;;1;0;1;0;1;0;;21;2;4;0;4;1;
21;1;1;20;1;36;36;15;12;0;0;16;1;;1;1;1;1;1;6;3;1;0;0;3;1;;177.999;30;7.5;10.625;10.625;0.7916667;21.5;;1;0;1;1;0;1;;21;2;4;0;4;1;
9;1;1;-16;1;41;41;15;13;0;0;16;0;;1;1;1;1;1;6;3;1;0;0;1;1;1;106;66;7.5;10.2439;10.2439;0.8170732;57.5;;1;0;1;1;0;1;;26;3;4;0;4;1;
20;1;1;0;1;11;31;12;11;0;0;0;0;;1;1;1;1;1;3;1;0;0;1;2;1;;157.999;13;0;8.32258;8.32258;;;;0;0;0;0;0;;;19;1;4;0;4;1;
46;1;1;0.499;1;13;41;14;13;0;1;12.501;1;;1;1;1;1;1;5;1;0;0;1;5;0;0;279.4909;22.501;6.035714;12.53571;9.390244;;;;;0;0;0;0;;;1;2;4;0;4;1;
4;1;2;17;1;35;35;18;15;0;0;18;1;;1;1;1;2;1;3;3;1;0;0;1;1;1;137;32;9;13.62857;13.62857;0.7428572;23;;1;0;1;1;1;1;;17;2;4;0;4;1;
38;1;1;14.999;1;35;35;20;19;0;0;20.001;1;;1;1;1;1;1;6;3;1;0;0;4;0;;277.494;22.001;10;15.71429;15.71429;0.7142857;12;;1;0;1;1;0;1;;15;2;4;0;4;1;
14;1;1;0;1;15;25;16;15;0;0;0;0;;1;1;1;1;1;5;1;0;0;1;2;1;;109;16.001;0;13.12;13.12;;;;0;0;0;0;0;;;9;1;4;0;4;1;
29;1;1;0;1;32;32;18;18;1;1;;0;;1;1;1;1;1;1;3;1;0;0;3;0;;208.496;;;18;14.0625;;;;;0;0;;0;;;0;2;4;0;4;1;
12;1;1;0;1;15;19;15;14;0;0;0;0;;1;1;1;1;1;4;2;0;1;0;2;1;;107;10;5.921052;13.42105;13.42105;;;;0;0;0;0;0;;;4;1;4;0;4;1;
39;1;1;0;1;13;21;13;12;0;0;0;0;;1;1;1;1;1;3;2;0;1;0;4;0;;277.494;1.1;4.023809;10.52381;10.52381;;;;0;0;0;0;0;;;8;1;4;0;4;1;
2;1;1;21;1;31;31;17;15;0;0;10;1;;1;1;1;1;1;3;3;1;0;0;1;1;1;119;10;8.5;13.16129;13.16129;0.7258065;8.5;;1;0;1;0;1;0;;14;1;4;0;4;1;
35;1;2;0;1;18;29;19;18;0;0;0;0;;1;1;1;2;1;2;1;0;0;1;4;0;;262.495;10;0;15.72414;15.72414;;;;0;0;0;0;0;;;10;1;4;0;4;1;
44;1;2;0;1;27;27;13;11;1;1;;0;;1;1;1;2;1;6;3;1;0;0;5;0;0;278.9919;;;10.15385;9.62963;;;;;0;0;;0;;;2;1;4;0;4;1;
48;1;1;0;1;18;27;18;18;0;0;0;0;;1;1;1;1;1;2;1;0;0;1;5;0;0;279.4909;17;0;15;15;;;;0;0;0;0;0;;;9;1;4;0;4;1;
26;1;2;13.999;1;32;32;18;17;0;0;18.001;1;;1;1;1;2;1;4;3;1;0;0;3;0;;221.997;22.001;9;14.0625;14.0625;0.71875;13;;1;0;1;1;0;1;;14;2;4;0;4;1;
31;1;1;26;1;42;42;15;13;0;0;16;1;;1;1;1;1;1;1;3;1;0;0;4;0;;234.496;16;7.5;10.17857;10.17857;0.8214286;7.5;;1;0;1;1;0;1;;27;1;4;0;4;1;
23;1;2;0;1;13;55;13;11;0;0;0;0;;1;1;1;2;1;1;2;0;1;0;3;1;;206.999;14;1.536364;8.036364;8.036364;;;;0;0;0;0;0;;;42;1;4;0;4;1;
27;1;1;-14.001;1;15;36;15;15;0;1;14.001;0;;1;1;1;1;1;5;1;0;0;1;3;0;;207.996;28.501;7.5;15;10.625;;;;;0;0;0;0;;;0;2;4;0;4;1;
49;1;1;0;1;14;34;17;14;0;1;0;0;;1;1;1;1;1;2;1;0;0;1;5;0;0;279.4909;4;5.764706;12.76471;12.75;;;;;0;0;0;0;;;3;1;4;0;4;1;
25;1;1;0;1;32;32;14;12;1;1;;0;;1;1;1;1;1;4;3;1;0;0;3;1;;207.998;;;11.14286;10.0625;;;;;0;0;;0;;;2;1;4;0;4;1;
43;1;2;0;1;14;51;14;13;0;0;0;0;;1;1;1;2;1;2;2;0;1;0;5;0;0;278.9919;14;1.921569;8.921569;8.921569;;;;0;0;0;0;0;;;37;1;4;0;4;1;
