---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
period;byte;%8.0g;Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subject;byte;%8.0g;Subject;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group;byte;%8.0g;Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
type;float;%11.0g;type;1=Investor,;2=Trustee,;3=Gossiper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
investment;float;%8.0g;Investor:;investment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
belief;float;%8.0g;expected;return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
return;float;%8.0g;Trustee:;return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wtp;float;%8.0g;WTP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transmission;byte;%8.0g;message;transmitted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_message;int;%8.0g;time;message;writing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
random;float;%8.0g;randomnumber;BDM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_wtp;byte;%8.0g;time;wtp;decision;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_investor;byte;%8.0g;time;investment;decision;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_trustee;int;%8.0g;time;return;decision;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_feedback;long;%8.0g;time;feedback;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
message;str254;%254s;message;content;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id;int;%8.0g;message;id;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cat1;float;%8.0g;c1;pos/neg;messages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cat2;float;%8.0g;c2;true/false;messages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cat3;float;%14.0g;c3;evaluative;messages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fair;float;%8.0g;(p;50);cat4_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
advice;float;%8.0g;(p;50);cat4_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selfish;float;%8.0g;(p;50);cat4_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
warning;float;%8.0g;(p;50);cat4_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neutral;float;%8.0g;(p;50);cat4_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
praise;float;%8.0g;(p;50);cat4_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wrong;float;%8.0g;(p;50);cat4_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
generous;float;%8.0g;(p;50);cat4_8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
comparing;float;%8.0g;(p;50);cat4_9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
na;float;%8.0g;(p;50);cat4_10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
content;float;%9.0g;yes=1,;no=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cat4;float;%9.0g;c4;attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
session;float;%9.0g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treatment;float;%12.0g;treat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pid;float;%9.0g;unique;subject;id;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time_gossip;float;%9.0g;time;gossip;decision;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RRdisplayed;float;%9.0g;observed;return;ratio;by;gossiper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
returnratio;float;%9.0g;current;return;ratio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
payoff;float;%9.0g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
period;subject;group;type;investment;belief;return;wtp;transmission;time_message;random;time_wtp;time_investor;time_trustee;time_feedback;message;id;cat1;cat2;cat3;fair;advice;selfish;warning;neutral;praise;wrong;generous;comparing;na;content;cat4;session;treatment;pid;time_gossip;RRdisplayed;returnratio;payoff
1;9;1;Investor;3;12;4;;;;;;56;30;10;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.4444444;9
1;1;1;Trustee;3;0;4;;;;;;30;26;6;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.4444444;13
1;19;2;Investor;3;4;5;;;;;;38;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.5555556;10
1;8;2;Trustee;3;0;5;;;;;;30;24;4;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.5555556;12
1;12;3;Investor;8;15;15;;;;;;19;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.625;15
1;4;3;Trustee;8;0;15;;;;;;30;29;6;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.625;17
1;11;4;Trustee;5;0;10;;;;;;30;37;5;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;13
1;20;4;Investor;5;10;10;;;;;;39;30;9;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.6666667;13
1;21;5;Investor;8;16;16;;;;;;15;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.6666667;16
