****VARIABLES****;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
period;Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subject;Subject;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group;Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
profit;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
totalprofit;TotalProfit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
game;PD=0 SH=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p12;Payoff XY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p21;Payoff YX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mgroup;Machting group within session;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sequence;Sequence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newseq;Indicator for start of new sequence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newgame;Indicator for start of new game;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
counter;# periods within sequence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tsequence;# of sequences in a session;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stage;Indicator for stage 1-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
temptation;(25-15)=1 (30-10)=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
choice;X=1 (coop), Y=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
belief;belief (# of others choosing X);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time;Time for choice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
otherschoice;Choice of other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
othersprofit;Payoff of other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
totper;# periods in stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stage_per;period in stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
logtime;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
temptation_difference;T-T';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
session;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pid;unique id for subjects;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treatment;"1=PD-SH 30-10; 2=SH-PD 30-10; 3=PD-SH25-15; 4=SH-PD 25-15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
